x,rho,P,u
-0.378878878878879,1,1,0
-0.377877877877878,1,1,0
-0.376876876876877,1,1,0
-0.375875875875876,1,1,0
-0.374874874874875,1,1,0
-0.373873873873874,1,1,0
-0.372872872872873,1,1,0
-0.371871871871872,1,1,0
-0.370870870870871,1,1,0
-0.36986986986987,1,1,0
-0.368868868868869,1,1,0
-0.367867867867868,1,1,0
-0.366866866866867,1,1,0
-0.365865865865866,1,1,0
-0.364864864864865,1,1,0
-0.363863863863864,1,1,0
-0.362862862862863,1,1,0
-0.361861861861862,1,1,0
-0.360860860860861,1,1,0
-0.35985985985986,1,1,0
-0.358858858858859,1,1,0
-0.357857857857858,1,1,0
-0.356856856856857,1,1,0
-0.355855855855856,1,1,0
-0.354854854854855,1,1,0
-0.353853853853854,1,1,0
-0.352852852852853,1,1,0
-0.351851851851852,1,1,0
-0.350850850850851,1,1,0
-0.34984984984985,1,1,0
-0.348848848848849,1,1,0
-0.347847847847848,1,1,0
-0.346846846846847,1,1,0
-0.345845845845846,1,1,0
-0.344844844844845,1,1,0
-0.343843843843844,1,1,0
-0.342842842842843,1,1,0
-0.341841841841842,1,1,0
-0.340840840840841,1,1,0
-0.33983983983984,1,1,0
-0.338838838838839,1,1,0
-0.337837837837838,1,1,0
-0.336836836836837,1,1,0
-0.335835835835836,1,1,0
-0.334834834834835,1,1,0
-0.333833833833834,1,1,0
-0.332832832832833,1,1,0
-0.331831831831832,1,1,0
-0.330830830830831,1,1,0
-0.32982982982983,1,1,0
-0.328828828828829,1,1,0
-0.327827827827828,1,1,0
-0.326826826826827,1,1,0
-0.325825825825826,1,1,0
-0.324824824824825,1,1,0
-0.323823823823824,1,1,0
-0.322822822822823,1,1,0
-0.321821821821822,1,1,0
-0.320820820820821,1,1,0
-0.31981981981982,1,1,0
-0.318818818818819,1,1,0
-0.317817817817818,1,1,0
-0.316816816816817,1,1,0
-0.315815815815816,1,1,0
-0.314814814814815,1,1,0
-0.313813813813814,1,1,0
-0.312812812812813,1,1,0
-0.311811811811812,1,1,0
-0.310810810810811,1,1,0
-0.30980980980981,1,1,0
-0.308808808808809,1,1,0
-0.307807807807808,1,1,0
-0.306806806806807,1,1,0
-0.305805805805806,1,1,0
-0.304804804804805,1,1,0
-0.303803803803804,1,1,0
-0.302802802802803,1,1,0
-0.301801801801802,1,1,0
-0.300800800800801,1,1,0
-0.2997997997998,1,1,0
-0.298798798798799,1,1,0
-0.297797797797798,1,1,0
-0.296796796796797,1,1,0
-0.295795795795796,1,1,0
-0.294794794794795,1,1,0
-0.293793793793794,1,1,0
-0.292792792792793,1,1,0
-0.291791791791792,1,1,0
-0.290790790790791,1,1,0
-0.28978978978979,1,1,0
-0.288788788788789,1,1,0
-0.287787787787788,1,1,0
-0.286786786786787,1,1,0
-0.285785785785786,1,1,0
-0.284784784784785,1,1,0
-0.283783783783784,1,1,0
-0.282782782782783,1,1,0
-0.281781781781782,1,1,0
-0.280780780780781,1,1,0
-0.27977977977978,1,1,0
-0.278778778778779,1,1,0
-0.277777777777778,1,1,0
-0.276776776776777,1,1,0
-0.275775775775776,1,1,0
-0.274774774774775,1,1,0
-0.273773773773774,1,1,0
-0.272772772772773,1,1,0
-0.271771771771772,1,1,0
-0.270770770770771,1,1,0
-0.26976976976977,1,1,0
-0.268768768768769,1,1,0
-0.267767767767768,1,1,0
-0.266766766766767,1,1,0
-0.265765765765766,1,1,0
-0.264764764764765,1,1,0
-0.263763763763764,1,1,0
-0.262762762762763,1,1,0
-0.261761761761762,1,1,0
-0.260760760760761,1,1,0
-0.25975975975976,1,1,0
-0.258758758758759,1,1,0
-0.257757757757758,1,1,0
-0.256756756756757,1,1,0
-0.255755755755756,1,1,0
-0.254754754754755,1,1,0
-0.253753753753754,1,1,0
-0.252752752752753,1,1,0
-0.251751751751752,1,1,0
-0.250750750750751,1,1,0
-0.24974974974975,1,1,0
-0.248748748748749,1,1,0
-0.247747747747748,1,1,0
-0.246746746746747,1,1,0
