x,rho,u,P,e,rho_ref,u_ref,P_ref,e_ref
0.33,0.34323,1.53087,2.45379,17.8728,0.483891,0.343939,1.52551,2.45979,17.8796
0.335,0.343016,1.53283,2.45166,17.8684,0.484571,0.343939,1.52551,2.45979,17.8796
0.34,0.342891,1.53397,2.45042,17.8658,0.484967,0.343939,1.52551,2.45979,17.8796
0.345,0.342833,1.53449,2.44985,17.8647,0.485146,0.343939,1.52551,2.45979,17.8796
0.35,0.342823,1.53457,2.44976,17.8646,0.485173,0.343939,1.52551,2.45979,17.8796
0.355,0.342845,1.53436,2.44999,17.8652,0.485099,0.343939,1.52551,2.45979,17.8796
0.36,0.342886,1.53398,2.45041,17.8661,0.484964,0.343939,1.52551,2.45979,17.8796
0.365,0.342936,1.5335,2.45093,17.8672,0.484798,0.343939,1.52551,2.45979,17.8796
0.37,0.34299,1.53299,2.45148,17.8685,0.484619,0.343939,1.52551,2.45979,17.8796
0.375,0.343044,1.53247,2.45204,17.8697,0.484441,0.343939,1.52551,2.45979,17.8796
0.38,0.343096,1.53198,2.45257,17.8709,0.484269,0.343939,1.52551,2.45979,17.8796
0.385,0.343145,1.53152,2.45307,17.872,0.484108,0.343939,1.52551,2.45979,17.8796
0.39,0.343189,1.53109,2.45353,17.873,0.483959,0.343939,1.52551,2.45979,17.8796
0.395,0.34323,1.5307,2.45396,17.874,0.483821,0.343939,1.52551,2.45979,17.8796
0.4,0.343268,1.53034,2.45435,17.8749,0.483695,0.343939,1.52551,2.45979,17.8796
0.405,0.343302,1.53001,2.45471,17.8757,0.483579,0.343939,1.52551,2.45979,17.8796
0.41,0.343334,1.5297,2.45504,17.8765,0.483472,0.343939,1.52551,2.45979,17.8796
0.415,0.343362,1.52942,2.45534,17.8772,0.483374,0.343939,1.52551,2.45979,17.8796
0.42,0.343388,1.52916,2.45562,17.8779,0.483283,0.343939,1.52551,2.45979,17.8796
0.425,0.343412,1.52893,2.45588,17.8785,0.4832,0.343939,1.52551,2.45979,17.8796
0.43,0.343434,1.52871,2.45612,17.8791,0.483123,0.343939,1.52551,2.45979,17.8796
0.435,0.343454,1.5285,2.45633,17.8796,0.483051,0.343939,1.52551,2.45979,17.8796
0.44,0.343472,1.52832,2.45654,17.8802,0.482985,0.343939,1.52551,2.45979,17.8796
0.445,0.343489,1.52814,2.45672,17.8807,0.482923,0.343939,1.52551,2.45979,17.8796
0.45,0.343504,1.52798,2.4569,17.8811,0.482866,0.343939,1.52551,2.45979,17.8796
0.455,0.343518,1.52783,2.45706,17.8816,0.482813,0.343939,1.52551,2.45979,17.8796
0.46,0.343531,1.52769,2.45721,17.882,0.482763,0.343939,1.52551,2.45979,17.8796
0.465,0.343543,1.52756,2.45735,17.8824,0.482717,0.343939,1.52551,2.45979,17.8796
0.47,0.343553,1.52744,2.45748,17.8828,0.482673,0.343939,1.52551,2.45979,17.8796
0.475,0.343563,1.52733,2.4576,17.8832,0.482633,0.343939,1.52551,2.45979,17.8796
0.48,0.343572,1.52723,2.45771,17.8836,0.482595,0.343939,1.52551,2.45979,17.8796
0.485,0.343579,1.52713,2.45782,17.8839,0.482559,0.343939,1.52551,2.45979,17.8796
0.49,0.343586,1.52704,2.45792,17.8843,0.482525,0.343939,1.52551,2.45979,17.8796
0.495,0.343593,1.52695,2.45801,17.8846,0.482494,0.343939,1.52551,2.45979,17.8796
0.5,0.343598,1.52687,2.45809,17.8849,0.482464,0.343939,1.52551,2.45979,17.8796
0.505,0.343603,1.5268,2.45817,17.8853,0.482435,0.343939,1.52551,2.45979,17.8796
0.51,0.343608,1.52673,2.45825,17.8856,0.482409,0.343939,1.52551,2.45979,17.8796
0.515,0.343611,1.52666,2.45832,17.8859,0.482383,0.343939,1.52551,2.45979,17.8796
0.52,0.343614,1.5266,2.45839,17.8862,0.482359,0.343939,1.52551,2.45979,17.8796
0.525,0.343617,1.52654,2.45845,17.8866,0.482336,0.343939,1.52551,2.45979,17.8796
0.53,0.343619,1.52648,2.45851,17.8869,0.482315,0.343939,1.52551,2.45979,17.8796
0.535,0.34362,1.52643,2.45856,17.8872,0.482294,0.343939,1.52551,2.45979,17.8796
0.54,0.343621,1.52638,2.45862,17.8875,0.482274,0.343939,1.52551,2.45979,17.8796
0.545,0.343622,1.52634,2.45867,17.8879,0.482255,0.343939,1.52551,2.45979,17.8796
0.55,0.343621,1.52629,2.45871,17.8882,0.482236,0.343939,1.52551,2.45979,17.8796
0.555,0.343621,1.52625,2.45875,17.8886,0.482218,0.343939,1.52551,2.45979,17.8796
0.56,0.34362,1.52621,2.4588,17.8889,0.482201,0.343939,1.52551,2.45979,17.8796
0.565,0.343618,1.52617,2.45883,17.8893,0.482184,0.343939,1.52551,2.45979,17.8796
0.57,0.343615,1.52614,2.45887,17.8897,0.482168,0.343939,1.52551,2.45979,17.8796
