X,Y
0.000000000000000000e+00,0.000000000000000000e+00
5.050505050505050934e-03,0.000000000000000000e+00
1.010101010101010187e-02,0.000000000000000000e+00
1.515151515151515194e-02,0.000000000000000000e+00
2.020202020202020374e-02,0.000000000000000000e+00
2.525252525252525554e-02,0.000000000000000000e+00
3.030303030303030387e-02,0.000000000000000000e+00
3.535353535353535914e-02,0.000000000000000000e+00
4.040404040404040747e-02,0.000000000000000000e+00
4.545454545454545581e-02,0.000000000000000000e+00
5.050505050505051108e-02,0.000000000000000000e+00
5.555555555555555941e-02,0.000000000000000000e+00
6.060606060606060774e-02,0.000000000000000000e+00
6.565656565656566301e-02,0.000000000000000000e+00
7.070707070707071829e-02,0.000000000000000000e+00
7.575757575757575968e-02,0.000000000000000000e+00
8.080808080808081495e-02,0.000000000000000000e+00
8.585858585858587022e-02,0.000000000000000000e+00
9.090909090909091161e-02,0.000000000000000000e+00
9.595959595959596689e-02,0.000000000000000000e+00
1.010101010101010222e-01,0.000000000000000000e+00
1.060606060606060635e-01,0.000000000000000000e+00
1.111111111111111188e-01,0.000000000000000000e+00
1.161616161616161741e-01,0.000000000000000000e+00
1.212121212121212155e-01,0.000000000000000000e+00
1.262626262626262708e-01,0.000000000000000000e+00
1.313131313131313260e-01,0.000000000000000000e+00
1.363636363636363813e-01,0.000000000000000000e+00
1.414141414141414366e-01,0.000000000000000000e+00
1.464646464646464641e-01,0.000000000000000000e+00
1.515151515151515194e-01,0.000000000000000000e+00
1.565656565656565746e-01,0.000000000000000000e+00
1.616161616161616299e-01,0.000000000000000000e+00
1.666666666666666852e-01,0.000000000000000000e+00
1.717171717171717404e-01,0.000000000000000000e+00
1.767676767676767957e-01,0.000000000000000000e+00
1.818181818181818232e-01,0.000000000000000000e+00
1.868686868686868785e-01,0.000000000000000000e+00
1.919191919191919338e-01,0.000000000000000000e+00
1.969696969696969890e-01,0.000000000000000000e+00
2.020202020202020443e-01,0.000000000000000000e+00
2.070707070707070996e-01,0.000000000000000000e+00
2.121212121212121271e-01,0.000000000000000000e+00
2.171717171717171824e-01,0.000000000000000000e+00
2.222222222222222376e-01,0.000000000000000000e+00
2.272727272727272929e-01,0.000000000000000000e+00
2.323232323232323482e-01,0.000000000000000000e+00
2.373737373737374035e-01,0.000000000000000000e+00
2.424242424242424310e-01,0.000000000000000000e+00
2.474747474747474862e-01,0.000000000000000000e+00
2.525252525252525415e-01,0.000000000000000000e+00
2.575757575757576245e-01,0.000000000000000000e+00
2.626262626262626521e-01,0.000000000000000000e+00
2.676767676767676796e-01,0.000000000000000000e+00
2.727272727272727626e-01,0.000000000000000000e+00
2.777777777777777901e-01,0.000000000000000000e+00
2.828282828282828731e-01,0.000000000000000000e+00
2.878787878787879007e-01,0.000000000000000000e+00
2.929292929292929282e-01,0.000000000000000000e+00
2.979797979797980112e-01,0.000000000000000000e+00
3.030303030303030387e-01,0.000000000000000000e+00
3.080808080808081217e-01,0.000000000000000000e+00
3.131313131313131493e-01,0.000000000000000000e+00
3.181818181818182323e-01,0.000000000000000000e+00
3.232323232323232598e-01,0.000000000000000000e+00
3.282828282828282873e-01,0.000000000000000000e+00
3.333333333333333703e-01,0.000000000000000000e+00
3.383838383838383979e-01,0.000000000000000000e+00
3.434343434343434809e-01,0.000000000000000000e+00
3.484848484848485084e-01,0.000000000000000000e+00
3.535353535353535914e-01,0.000000000000000000e+00
3.585858585858586189e-01,0.000000000000000000e+00
3.636363636363636465e-01,0.000000000000000000e+00
3.686868686868687295e-01,0.000000000000000000e+00
3.737373737373737570e-01,0.000000000000000000e+00
3.787878787878788400e-01,0.000000000000000000e+00
3.838383838383838675e-01,0.000000000000000000e+00
3.888888888888888951e-01,0.000000000000000000e+00
3.939393939393939781e-01,0.000000000000000000e+00
3.989898989898990056e-01,0.000000000000000000e+00
4.040404040404040886e-01,0.000000000000000000e+00
4.090909090909091161e-01,0.000000000000000000e+00
4.141414141414141992e-01,0.000000000000000000e+00
4.191919191919192267e-01,0.000000000000000000e+00
4.242424242424242542e-01,0.000000000000000000e+00
4.292929292929293372e-01,0.000000000000000000e+00
4.343434343434343647e-01,0.000000000000000000e+00
4.393939393939394478e-01,0.000000000000000000e+00
4.444444444444444753e-01,0.000000000000000000e+00
4.494949494949495583e-01,0.000000000000000000e+00
4.545454545454545858e-01,0.000000000000000000e+00
4.595959595959596133e-01,0.000000000000000000e+00
4.646464646464646964e-01,0.000000000000000000e+00
4.696969696969697239e-01,0.000000000000000000e+00
4.747474747474748069e-01,0.000000000000000000e+00
4.797979797979798344e-01,0.000000000000000000e+00
4.848484848484848619e-01,0.000000000000000000e+00
4.898989898989899450e-01,0.000000000000000000e+00
4.949494949494949725e-01,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00
5.101010101010101661e-01,-1.754021996635659990e-03
5.202020202020202211e-01,-3.508043993271319980e-03
5.303030303030302761e-01,-5.262065989906979969e-03
5.404040404040404422e-01,-7.016087986542639959e-03
5.505050505050504972e-01,-8.770109983178300816e-03
5.606060606060606633e-01,-1.052413197981395994e-02
5.707070707070707183e-01,-1.227815397644962080e-02
5.808080808080808843e-01,-1.403217597308527992e-02
5.909090909090908283e-01,-1.578619796972094078e-02
6.010101010101009944e-01,-1.754021996635660163e-02
6.111111111111111605e-01,-1.929424196299225902e-02
6.212121212121212155e-01,-2.104826395962791988e-02
6.313131313131313815e-01,-2.280228595626358074e-02
6.414141414141414366e-01,-2.455630795289924159e-02
6.515151515151516026e-01,-2.631032994953489898e-02
6.616161616161615466e-01,-2.806435194617055984e-02
6.717171717171717127e-01,-2.981837394280622416e-02
6.818181818181817677e-01,-3.157239593944188155e-02
6.919191919191919338e-01,-3.332641793607753894e-02
7.020202020202020998e-01,-3.508043993271320327e-02
7.121212121212121549e-01,-3.683446192934886065e-02
7.222222222222223209e-01,-3.858848392598451804e-02
7.323232323232322649e-01,-4.034250592262018237e-02
7.424242424242424310e-01,-4.209652791925583976e-02
7.525252525252524860e-01,-4.385054991589149714e-02
7.626262626262626521e-01,-4.560457191252716147e-02
7.727272727272728181e-01,-4.735859390916282580e-02
7.828282828282828731e-01,-4.911261590579848318e-02
7.929292929292929282e-01,-5.086663790243414057e-02
8.030303030303030942e-01,-5.262065989906979796e-02
8.131313131313131493e-01,-5.437468189570546229e-02
8.232323232323232043e-01,-5.612870389234111967e-02
8.333333333333332593e-01,-5.788272588897678400e-02
8.434343434343435364e-01,-5.963674788561244833e-02
8.535353535353535914e-01,-6.139076988224810572e-02
8.636363636363635354e-01,-6.314479187888376310e-02
8.737373737373738125e-01,-6.489881387551942049e-02
8.838383838383838675e-01,-6.665283587215507788e-02
8.939393939393939226e-01,-6.840685786879074914e-02
9.040404040404041996e-01,-7.016087986542640653e-02
9.141414141414142547e-01,-7.191490186206206392e-02
9.242424242424241987e-01,-7.366892385869772131e-02
9.343434343434344758e-01,-7.542294585533337870e-02
9.444444444444445308e-01,-7.717696785196903608e-02
9.545454545454545858e-01,-7.893098984860470735e-02
9.646464646464646409e-01,-8.068501184524036474e-02
9.747474747474746959e-01,-8.243903384187602212e-02
9.848484848484848619e-01,-8.419305583851167951e-02
9.949494949494949170e-01,-8.594707783514733690e-02
1.005050505050504972e+00,-8.770109983178299429e-02
1.015151515151515360e+00,-8.945512182841866555e-02
1.025252525252525304e+00,-9.120914382505432294e-02
1.035353535353535248e+00,-9.296316582168998033e-02
1.045454545454545636e+00,-9.471718781832565159e-02
1.055555555555555580e+00,-9.647120981496129510e-02
1.065656565656565746e+00,-9.822523181159696637e-02
1.075757575757575912e+00,-9.997925380823262376e-02
1.085858585858585856e+00,-1.017332758048682811e-01
1.095959595959596022e+00,-1.034872978015039524e-01
1.106060606060606188e+00,-1.052413197981395959e-01
1.116161616161616132e+00,-1.069953417947752672e-01
1.126262626262626299e+00,-1.087493637914109246e-01
1.136363636363636465e+00,-1.105033857880465958e-01
1.146464646464646409e+00,-1.122574077846822393e-01
1.156565656565656575e+00,-1.140114297813178967e-01
1.166666666666666519e+00,-1.157654517779535680e-01
1.176767676767676685e+00,-1.175194737745892254e-01
1.186868686868687073e+00,-1.192734957712248967e-01
1.196969696969696795e+00,-1.210275177678605402e-01
1.207070707070707183e+00,-1.227815397644962114e-01
1.217171717171717349e+00,-1.245355617611318688e-01
1.227272727272727071e+00,-1.262895837577675262e-01
1.237373737373737459e+00,-1.280436057544031836e-01
1.247474747474747625e+00,-1.297976277510388410e-01
1.257575757575757569e+00,-1.315516497476744984e-01
1.267676767676767735e+00,-1.333056717443101558e-01
1.277777777777777901e+00,-1.350596937409458131e-01
1.287878787878787845e+00,-1.368137157375814983e-01
1.297979797979798011e+00,-1.385677377342171279e-01
1.308080808080808399e+00,-1.403217597308528131e-01
1.318181818181818121e+00,-1.420757817274884705e-01
1.328282828282828509e+00,-1.438298037241241278e-01
1.338383838383838675e+00,-1.455838257207597852e-01
1.348484848484848397e+00,-1.473378477173954426e-01
1.358585858585858785e+00,-1.490918697140311000e-01
1.368686868686868952e+00,-1.508458917106667574e-01
1.378787878787878896e+00,-1.525999137073024425e-01
1.388888888888889062e+00,-1.543539357039380722e-01
1.398989898989899006e+00,-1.561079577005737573e-01
1.409090909090909172e+00,-1.578619796972094147e-01
1.419191919191919338e+00,-1.596160016938450443e-01
1.429292929292929282e+00,-1.613700236904807295e-01
1.439393939393939448e+00,-1.631240456871163869e-01
1.449494949494949392e+00,-1.648780676837520442e-01
1.459595959595959558e+00,-1.666320896803877016e-01
1.469696969696969724e+00,-1.683861116770233590e-01
1.479797979797979668e+00,-1.701401336736590164e-01
1.489898989898989834e+00,-1.718941556702946738e-01
1.500000000000000000e+00,-1.736481776669303312e-01
0.000000000000000000e+00,1.010101010101010187e-02
