x,rho,u,P,e, ,rho_ref,u_ref,P_ref,e_ref
0.335,0.346161,1.50387,2.48324,17.9342,0.474542,0.343939,1.52551,2.45979,17.8796
0.34,0.345136,1.51324,2.47297,17.913,0.477782,0.343939,1.52551,2.45979,17.8796
0.345,0.344327,1.52066,2.46487,17.8963,0.480349,0.343939,1.52551,2.45979,17.8796
0.35,0.343716,1.52626,2.45877,17.8837,0.482287,0.343939,1.52551,2.45979,17.8796
0.355,0.343282,1.53025,2.45444,17.8748,0.483668,0.343939,1.52551,2.45979,17.8796
0.36,0.342995,1.53287,2.45159,17.8689,0.484577,0.343939,1.52551,2.45979,17.8796
0.365,0.342827,1.53442,2.44991,17.8655,0.485111,0.343939,1.52551,2.45979,17.8796
0.37,0.342746,1.53515,2.44912,17.864,0.485363,0.343939,1.52551,2.45979,17.8796
0.375,0.342727,1.53531,2.44895,17.8637,0.485417,0.343939,1.52551,2.45979,17.8796
0.38,0.342748,1.53509,2.44917,17.8642,0.485343,0.343939,1.52551,2.45979,17.8796
0.385,0.342793,1.53467,2.44964,17.8653,0.485194,0.343939,1.52551,2.45979,17.8796
0.39,0.342849,1.53413,2.45021,17.8666,0.485007,0.343939,1.52551,2.45979,17.8796
0.395,0.342909,1.53356,2.45083,17.868,0.484807,0.343939,1.52551,2.45979,17.8796
0.4,0.342969,1.53299,2.45145,17.8693,0.484609,0.343939,1.52551,2.45979,17.8796
0.405,0.343025,1.53245,2.45204,17.8707,0.48442,0.343939,1.52551,2.45979,17.8796
0.41,0.343078,1.53195,2.45258,17.8719,0.484243,0.343939,1.52551,2.45979,17.8796
0.415,0.343126,1.53148,2.45309,17.8731,0.484081,0.343939,1.52551,2.45979,17.8796
0.42,0.343171,1.53105,2.45355,17.8741,0.483931,0.343939,1.52551,2.45979,17.8796
0.425,0.343211,1.53066,2.45397,17.8751,0.483794,0.343939,1.52551,2.45979,17.8796
0.43,0.343247,1.5303,2.45436,17.876,0.483668,0.343939,1.52551,2.45979,17.8796
0.435,0.343281,1.52997,2.45472,17.8769,0.483552,0.343939,1.52551,2.45979,17.8796
0.44,0.343311,1.52967,2.45504,17.8777,0.483446,0.343939,1.52551,2.45979,17.8796
0.445,0.343339,1.52939,2.45535,17.8785,0.483348,0.343939,1.52551,2.45979,17.8796
0.45,0.343364,1.52914,2.45562,17.8792,0.483258,0.343939,1.52551,2.45979,17.8796
0.455,0.343386,1.5289,2.45588,17.8798,0.483174,0.343939,1.52551,2.45979,17.8796
0.46,0.343407,1.52868,2.45611,17.8805,0.483097,0.343939,1.52551,2.45979,17.8796
0.465,0.343426,1.52848,2.45633,17.8811,0.483025,0.343939,1.52551,2.45979,17.8796
0.47,0.343443,1.5283,2.45653,17.8816,0.482959,0.343939,1.52551,2.45979,17.8796
0.475,0.343459,1.52812,2.45672,17.8822,0.482897,0.343939,1.52551,2.45979,17.8796
0.48,0.343473,1.52796,2.45689,17.8827,0.482839,0.343939,1.52551,2.45979,17.8796
0.485,0.343485,1.52781,2.45705,17.8832,0.482785,0.343939,1.52551,2.45979,17.8796
0.49,0.343497,1.52768,2.4572,17.8837,0.482735,0.343939,1.52551,2.45979,17.8796
0.495,0.343507,1.52755,2.45734,17.8842,0.482688,0.343939,1.52551,2.45979,17.8796
0.5,0.343516,1.52743,2.45746,17.8846,0.482643,0.343939,1.52551,2.45979,17.8796
0.505,0.343524,1.52731,2.45759,17.8851,0.482602,0.343939,1.52551,2.45979,17.8796
0.51,0.343531,1.52721,2.4577,17.8855,0.482563,0.343939,1.52551,2.45979,17.8796
0.515,0.343537,1.52711,2.4578,17.886,0.482526,0.343939,1.52551,2.45979,17.8796
