x,rho,u,P,e,rho_ref,u_ref,P_ref,e_ref
0.33,0.343371,1.52956,2.4552,17.8757,0.483439,0.343939,1.52551,2.45979,17.8796
0.335,0.343102,1.53204,2.45252,17.8702,0.484296,0.343939,1.52551,2.45979,17.8796
0.34,0.342934,1.53357,2.45085,17.8668,0.484826,0.343939,1.52551,2.45979,17.8796
0.345,0.342846,1.53437,2.44998,17.865,0.485103,0.343939,1.52551,2.45979,17.8796
0.35,0.342815,1.53464,2.44969,17.8645,0.485196,0.343939,1.52551,2.45979,17.8796
0.355,0.342824,1.53455,2.44979,17.8648,0.485163,0.343939,1.52551,2.45979,17.8796
0.36,0.342857,1.53423,2.45013,17.8655,0.485051,0.343939,1.52551,2.45979,17.8796
0.365,0.342905,1.53378,2.45062,17.8666,0.484895,0.343939,1.52551,2.45979,17.8796
0.37,0.342958,1.53327,2.45117,17.8678,0.484718,0.343939,1.52551,2.45979,17.8796
0.375,0.343013,1.53275,2.45173,17.8691,0.484537,0.343939,1.52551,2.45979,17.8796
0.38,0.343067,1.53225,2.45228,17.8703,0.48436,0.343939,1.52551,2.45979,17.8796
0.385,0.343117,1.53177,2.4528,17.8715,0.484193,0.343939,1.52551,2.45979,17.8796
0.39,0.343164,1.53132,2.45329,17.8725,0.484037,0.343939,1.52551,2.45979,17.8796
0.395,0.343207,1.53091,2.45373,17.8736,0.483893,0.343939,1.52551,2.45979,17.8796
0.4,0.343246,1.53053,2.45414,17.8745,0.48376,0.343939,1.52551,2.45979,17.8796
0.405,0.343282,1.53018,2.45452,17.8754,0.483639,0.343939,1.52551,2.45979,17.8796
0.41,0.343315,1.52986,2.45486,17.8762,0.483527,0.343939,1.52551,2.45979,17.8796
0.415,0.343345,1.52957,2.45518,17.8769,0.483424,0.343939,1.52551,2.45979,17.8796
0.42,0.343373,1.5293,2.45547,17.8776,0.48333,0.343939,1.52551,2.45979,17.8796
0.425,0.343398,1.52905,2.45574,17.8783,0.483243,0.343939,1.52551,2.45979,17.8796
0.43,0.34342,1.52882,2.45599,17.8789,0.483162,0.343939,1.52551,2.45979,17.8796
0.435,0.343441,1.52861,2.45622,17.8795,0.483087,0.343939,1.52551,2.45979,17.8796
0.44,0.34346,1.52842,2.45643,17.88,0.483018,0.343939,1.52551,2.45979,17.8796
0.445,0.343478,1.52823,2.45662,17.8805,0.482954,0.343939,1.52551,2.45979,17.8796
0.45,0.343494,1.52807,2.4568,17.881,0.482895,0.343939,1.52551,2.45979,17.8796
0.455,0.343508,1.52791,2.45697,17.8815,0.482839,0.343939,1.52551,2.45979,17.8796
0.46,0.343522,1.52777,2.45713,17.8819,0.482788,0.343939,1.52551,2.45979,17.8796
0.465,0.343534,1.52763,2.45727,17.8823,0.48274,0.343939,1.52551,2.45979,17.8796
0.47,0.343545,1.52751,2.45741,17.8827,0.482695,0.343939,1.52551,2.45979,17.8796
0.475,0.343555,1.52739,2.45753,17.8831,0.482652,0.343939,1.52551,2.45979,17.8796
0.48,0.343564,1.52728,2.45765,17.8835,0.482613,0.343939,1.52551,2.45979,17.8796
0.485,0.343572,1.52718,2.45776,17.8839,0.482576,0.343939,1.52551,2.45979,17.8796
0.49,0.34358,1.52709,2.45786,17.8842,0.482541,0.343939,1.52551,2.45979,17.8796
0.495,0.343586,1.527,2.45796,17.8846,0.482508,0.343939,1.52551,2.45979,17.8796
0.5,0.343592,1.52691,2.45805,17.8849,0.482477,0.343939,1.52551,2.45979,17.8796
0.505,0.343597,1.52684,2.45813,17.8853,0.482448,0.343939,1.52551,2.45979,17.8796
0.51,0.343602,1.52676,2.45821,17.8856,0.48242,0.343939,1.52551,2.45979,17.8796
0.515,0.343606,1.52669,2.45828,17.8859,0.482394,0.343939,1.52551,2.45979,17.8796
0.52,0.343609,1.52663,2.45835,17.8863,0.482369,0.343939,1.52551,2.45979,17.8796
0.525,0.343611,1.52657,2.45842,17.8866,0.482346,0.343939,1.52551,2.45979,17.8796
0.53,0.343614,1.52651,2.45848,17.8869,0.482323,0.343939,1.52551,2.45979,17.8796
0.535,0.343615,1.52646,2.45853,17.8873,0.482302,0.343939,1.52551,2.45979,17.8796
0.54,0.343616,1.52641,2.45859,17.8876,0.482281,0.343939,1.52551,2.45979,17.8796
0.545,0.343616,1.52636,2.45864,17.8879,0.482261,0.343939,1.52551,2.45979,17.8796
0.55,0.343616,1.52631,2.45868,17.8883,0.482242,0.343939,1.52551,2.45979,17.8796
0.555,0.343616,1.52627,2.45873,17.8887,0.482224,0.343939,1.52551,2.45979,17.8796
0.56,0.343614,1.52623,2.45877,17.889,0.482206,0.343939,1.52551,2.45979,17.8796
0.565,0.343612,1.52619,2.45881,17.8894,0.482189,0.343939,1.52551,2.45979,17.8796
0.57,0.34361,1.52616,2.45885,17.8898,0.482172,0.343939,1.52551,2.45979,17.8796
0.575,0.343607,1.52612,2.45888,17.8902,0.482156,0.343939,1.52551,2.45979,17.8796
0.58,0.343603,1.52609,2.45892,17.8907,0.48214,0.343939,1.52551,2.45979,17.8796
0.585,0.343599,1.52606,2.45895,17.8911,0.482124,0.343939,1.52551,2.45979,17.8796
0.59,0.343595,1.52603,2.45898,17.8915,0.482109,0.343939,1.52551,2.45979,17.8796
0.595,0.343593,1.526,2.45901,17.8919,0.482096,0.343939,1.52551,2.45979,17.8796
0.6,0.343595,1.52598,2.45903,17.892,0.482086,0.343939,1.52551,2.45979,17.8796
0.605,0.343608,1.52595,2.45906,17.8914,0.482086,0.343939,1.52551,2.45979,17.8796
0.61,0.343649,1.52593,2.45908,17.8895,0.482104,0.343939,1.52551,2.45979,17.8796
0.615,0.343746,1.52591,2.45911,17.8846,0.482163,0.343939,1.52551,2.45979,17.8796
0.62,0.343955,1.52588,2.45913,17.8739,0.482301,0.343939,1.52551,2.45979,17.8796
0.625,0.344373,1.52586,2.45915,17.8523,0.482586,0.343939,1.52551,2.45979,17.8796
0.63,0.345163,1.52584,2.45917,17.8117,0.48313,0.343939,1.52551,2.45979,17.8796
0.635,0.346577,1.52583,2.45919,17.7391,0.484111,0.343939,1.52551,2.45979,17.8796
0.64,0.348994,1.52581,2.4592,17.6164,0.485789,0.343939,1.52551,2.45979,17.8796
0.645,0.352944,1.52579,2.45922,17.4193,0.488524,0.343939,1.52551,2.45979,17.8796
0.65,0.359127,1.52578,2.45924,17.1195,0.492777,0.343939,1.52551,2.45979,17.8796
0.655,0.368412,1.52576,2.45925,16.6882,0.4991,0.343939,1.52551,2.45979,17.8796
0.66,0.381804,1.52575,2.45927,16.1029,0.508084,0.343939,1.52551,2.45979,17.8796
0.665,0.400378,1.52573,2.45928,15.356,0.520289,0.343939,1.52551,2.45979,17.8796
0.67,0.425173,1.52572,2.4593,14.4606,0.536151,0.343939,1.52551,2.45979,17.8796
0.675,0.457056,1.52571,2.45931,13.4519,0.555885,0.343939,1.52551,2.45979,17.8796
0.68,0.496582,1.52569,2.45933,12.3813,0.579416,0.343939,1.52551,2.45979,17.8796
0.685,0.543854,1.52568,2.45934,11.3051,0.606362,0.343939,1.52551,2.45979,17.8796
0.69,0.598437,1.52567,2.45936,10.2741,0.636056,0.343939,1.52551,2.45979,17.8796
0.695,0.659317,1.52566,2.45938,9.32547,0.667619,0.343939,1.52551,2.45979,17.8796
0.7,0.724953,1.52565,2.45939,8.48122,0.700055,0.343939,1.52551,2.45979,17.8796
0.705,0.793387,1.52564,2.45941,7.74973,0.732345,0.343939,1.52551,2.45979,17.8796
0.71,0.862428,1.52564,2.45943,7.12939,0.763538,1.30227,1.52551,2.45979,4.72213
0.715,0.929855,1.52563,2.45946,6.61247,0.792818,1.30227,1.52551,2.45979,4.72213
0.72,0.993632,1.52562,2.45948,6.18811,0.819549,1.30227,1.52551,2.45979,4.72213
0.725,1.05208,1.52562,2.4595,5.84438,0.843302,1.30227,1.52551,2.45979,4.72213
0.73,1.104,1.52562,2.45953,5.56959,0.863854,1.30227,1.52551,2.45979,4.72213
0.735,1.14872,1.52562,2.45955,5.35281,0.881171,1.30227,1.52551,2.45979,4.72213
0.74,1.18609,1.52562,2.45958,5.18422,0.895384,1.30227,1.52551,2.45979,4.72213
0.745,1.21639,1.52562,2.45961,5.05514,0.906744,1.30227,1.52551,2.45979,4.72213
0.75,1.24024,1.52562,2.45964,4.95798,0.915586,1.30227,1.52551,2.45979,4.72213
0.755,1.25848,1.52562,2.45967,4.8862,0.922289,1.30227,1.52551,2.45979,4.72213
0.76,1.27203,1.52563,2.4597,4.83422,0.927238,1.30227,1.52551,2.45979,4.72213
0.765,1.28181,1.52563,2.45974,4.79737,0.930796,1.30227,1.52551,2.45979,4.72213
0.77,1.2887,1.52564,2.45977,4.77183,0.93329,1.30227,1.52551,2.45979,4.72213
0.775,1.29341,1.52565,2.45981,4.7545,0.934994,1.30227,1.52551,2.45979,4.72213
0.78,1.29656,1.52566,2.45984,4.74301,0.93613,1.30227,1.52551,2.45979,4.72213
0.785,1.29861,1.52566,2.45985,4.73554,0.936867,1.30227,1.52551,2.45979,4.72213
0.79,1.2999,1.52563,2.4598,4.73075,0.937323,1.30227,1.52551,2.45979,4.72213
0.795,1.30065,1.52552,2.45959,4.72763,0.937566,1.30227,1.52551,2.45979,4.72213
0.8,1.30091,1.5252,2.45894,4.7254,0.937594,1.30227,1.52551,2.45979,4.72213
0.805,1.30056,1.52435,2.45714,4.72325,0.937283,1.30227,1.52551,2.45979,4.72213
0.81,1.29897,1.52211,2.45242,4.71992,0.936236,1.30227,1.52551,2.45979,4.72213
0.815,1.2945,1.51633,2.44025,4.71273,0.933392,1.30227,1.52551,2.45979,4.72213
0.82,1.28291,1.50158,2.40943,4.69524,0.926034,1.30227,1.52551,2.45979,4.72213
0.825,1.25415,1.46455,2.33355,4.65166,0.907416,1.30227,1.52551,2.45979,4.72213
