x,rho,u,P,e,rho_ref,u_ref,P_ref,e_ref
0.38,0.999812,0.750223,0.999736,2.49981,0.634078,1.0,0.75,1.0,2.5
0.385,0.999602,0.750471,0.999442,2.4996,0.634315,1.0,0.75,1.0,2.5
0.39,0.999201,0.750945,0.998882,2.4992,0.634766,1.0,0.75,1.0,2.5
0.395,0.998482,0.751797,0.997876,2.49848,0.635577,1.0,0.75,1.0,2.5
0.4,0.997267,0.753236,0.996177,2.49727,0.636949,1.0,0.75,1.0,2.5
0.405,0.995334,0.755529,0.993476,2.49533,0.639135,1.0,0.75,1.0,2.5
0.41,0.992436,0.758972,0.989431,2.49243,0.642422,1.0,0.75,1.0,2.5
0.415,0.988331,0.763862,0.98371,2.48831,0.647096,1.0,0.75,1.0,2.5
0.42,0.982816,0.770455,0.976043,2.48277,0.653409,1.0,0.75,1.0,2.5
0.425,0.97576,0.778932,0.966258,2.47565,0.661547,1.0,0.75,1.0,2.5
0.43,0.967112,0.789386,0.954307,2.4669,0.671614,1.0,0.75,1.0,2.5
0.435,0.956906,0.801818,0.940259,2.45651,0.683633,1.0,0.75,1.0,2.5
0.44,0.94524,0.816158,0.924276,2.44456,0.697557,0.980329,0.773461,0.972569,2.48021
0.445,0.932257,0.83228,0.906585,2.43115,0.713295,0.957152,0.80159,0.940532,2.45659
0.45,0.918126,0.850034,0.88744,2.41644,0.730725,0.934416,0.82972,0.909403,2.43308
0.455,0.903017,0.869261,0.867098,2.40056,0.749721,0.912114,0.857849,0.879162,2.40968
0.46,0.88709,0.88981,0.845802,2.38364,0.770163,0.89024,0.885978,0.849787,2.3864
0.465,0.870486,0.91155,0.823761,2.36581,0.791948,0.868788,0.914108,0.821257,2.36323
0.47,0.85332,0.934383,0.801146,2.34715,0.815006,0.847751,0.942237,0.793553,2.34017
0.475,0.835669,0.958249,0.778079,2.32771,0.839305,0.827124,0.970366,0.766653,2.31723
0.48,0.817566,0.983155,0.754619,2.30752,0.864879,0.8069,0.998496,0.740538,2.29439
0.485,0.798964,1.00922,0.730721,2.28646,0.891884,0.787074,1.02663,0.71519,2.27167
0.49,0.779636,1.03682,0.70612,2.26426,0.920762,0.767639,1.05475,0.690589,2.24907
0.495,0.758682,1.06737,0.679729,2.23983,0.953044,0.74859,1.08288,0.666718,2.22658
0.5,0.712143,1.13782,0.622082,2.18384,1.02889,0.729922,1.11101,0.643556,2.2042
0.505,0.69434,1.16572,0.600437,2.1619,1.05945,0.711627,1.13914,0.621089,2.18193
0.51,0.678658,1.19076,0.581559,2.14231,1.08715,0.693701,1.16727,0.599296,2.15978
0.515,0.664123,1.21439,0.56422,2.12393,1.11351,0.676139,1.1954,0.578163,2.13774
0.52,0.650543,1.23683,0.548161,2.10655,1.13875,0.658934,1.22353,0.557671,2.11581
0.525,0.637904,1.25805,0.533337,2.09019,1.16282,0.64208,1.25166,0.537805,2.094
0.53,0.626266,1.27789,0.519793,2.07497,1.18548,0.625574,1.27979,0.518549,2.07229
0.535,0.615736,1.29609,0.507625,2.06105,1.20641,0.609409,1.30792,0.499887,2.05071
0.54,0.606442,1.31236,0.496956,2.04866,1.22525,0.593579,1.33605,0.481804,2.02923
0.545,0.598513,1.32639,0.487908,2.038,1.24158,0.579867,1.36091,0.466294,2.01035
0.55,0.592046,1.33795,0.480564,2.02925,1.2551,0.579867,1.36091,0.466294,2.01035
0.555,0.587065,1.34691,0.474934,2.02249,1.26562,0.579867,1.36091,0.466294,2.01035
0.56,0.583497,1.35337,0.470915,2.01764,1.27321,0.579867,1.36091,0.466294,2.01035
0.565,0.581156,1.3576,0.468292,2.01448,1.2782,0.579867,1.36091,0.466294,2.01035
0.57,0.579781,1.36009,0.46676,2.01266,1.28112,0.579867,1.36091,0.466294,2.01035
0.575,0.57908,1.36134,0.46599,2.01177,1.28258,0.579867,1.36091,0.466294,2.01035
0.58,0.578792,1.36183,0.465688,2.01146,1.28314,0.579867,1.36091,0.466294,2.01035
